Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Address,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
73669,101 AVENUE,3/28/23,,994402,129-19,101 AVENUE,129-19 101 AVENUE,Queens,11419,4094730026,4000000,QN-09,28,154,QN54,40.692307,-73.81774,40.69257,-73.8177,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,0,2,0,0,0,0,3,0,3,10
73669,101 AVENUE,3/28/23,,1008703,129-21,101 AVENUE,129-21 101 AVENUE,Queens,11419,4094730024,4000000,QN-09,29,154,QN54,40.69231,-73.817729,40.69261,-73.81758,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,0,2,0,0,0,0,3,0,3,10
73675,94 EAST 208 STREET,3/17/23,,67511,94,EAST 208 STREET,94 EAST 208 STREET,Bronx,10467,2033260034,2000000,BX-07,11,419,BX43,40.878503,-73.881691,40.87828,-73.881872,,New Construction,No,Non Prevailing Wage,0,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0,7,8
73676,577 EAST 161 STREET,3/16/23,,1008704,577,EAST 161 STREET,577 EAST 161 STREET,Bronx,10456,,,BX-03,17,141,BX35,40.822283,-73.908806,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,4,0,2,1,1,0,0,0,0,0,4,0,4,13
73678,92 WEST 169 STREET APARTMENTS,3/15/23,,839351,92,WEST 169 STREET,92 WEST 169 STREET,Bronx,10452,,,BX-04,16,211,BX26,40.839533,-73.923209,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,12,0,6,4,2,0,0,0,0,0,12,0,12,38
73693,94-50 45TH AVENUE,3/10/23,,433760,94-50,45 AVENUE,94-50 45 AVENUE,Queens,11373,4016020028,4000000,QN-04,45,463,QN29,40.744021,-73.870147,40.74421,-73.868905,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,7
73695,134-16 36 ROAD,3/10/23,,423434,134-20,36 ROAD,134-20 36 ROAD,Queens,11354,4049700025,4112223,QN-07,21,869,QN22,40.7614,-73.833542,40.76132,-73.833239,,New Construction,No,Non Prevailing Wage,0,0,0,0,8,0,1,5,2,0,0,0,0,0,8,0,8,26
69647,DONA ROSITA I.YR15.FY23,3/8/23,,63593,315,EAST 148 STREET,315 EAST 148 STREET,Bronx,10451,2023300059,2000907,BX-01,17,65,BX34,40.8163,-73.921517,40.81641,-73.921159,,Preservation,No,Non Prevailing Wage,39,1,0,0,0,0,40,0,0,0,0,0,0,0,40,0,40,40
73696,36-10 31ST STREET,3/6/23,,418155,36-10,31 STREET,36-10 31 STREET,Queens,11106,4005990035,4007869,QN-01,26,51,QN68,40.756229,-73.930052,40.75634,-73.930365,,New Construction,No,Non Prevailing Wage,0,0,0,0,13,0,3,9,1,0,0,0,0,0,13,0,13,41
73705,282 EAST 32ND STREET APARTMENTS,2/22/23,,991560,282,EAST 32 STREET,282 EAST 32 STREET,Brooklyn,11226,3049310031,3110728,BK-17,45,826,BK95,40.64381,-73.946914,40.64376,-73.947181,,New Construction,No,Non Prevailing Wage,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,14
73712,36-26 172ND STREET APARTMENTS,2/13/23,,1003696,36-26,172 STREET,36-26 172 STREET,Queens,11358,4053020115,4119922,QN-07,19,1175,QN51,40.762772,-73.794235,40.76228,-73.794579,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,6
73714,132-53 41ST AVENUE APARTMENTS,2/13/23,,992554,132-53,41 AVENUE,132-53 41 AVENUE,Queens,11355,4050370089,4602879,QN-07,20,871,QN22,40.757231,-73.831658,40.75731,-73.832022,,New Construction,No,Non Prevailing Wage,0,0,0,0,5,0,0,4,0,1,0,0,0,0,5,0,5,14
73723,229 BEACH 14 STREET,2/8/23,,985962,229,BEACH 14 STREET,229 BEACH 14 STREET,Queens,11691,4156270036,4000000,QN-14,31,101001,QN15,40.596048,-73.748218,40.59613,-73.748546,,New Construction,No,Non Prevailing Wage,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,15
73730,SUNROSE TOWER,2/1/23,,42644,614,WEST 153 STREET,614 WEST 153 STREET,Manhattan,10031,1020990040,1062471,MN-09,7,237,MN04,40.831784,-73.947545,40.83164,-73.947769,,New Construction,No,Non Prevailing Wage,0,0,0,0,72,0,18,18,36,0,0,0,0,0,72,0,72,238
73735,31-22 60 STREET,1/16/23,,450784,31-24,60 STREET,31-24 60 STREET,Queens,11377,4011350148,4025304,QN-01,26,297,QN63,40.756972,-73.902709,40.75667,-73.902918,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,6
73744,113 E 184TH STREET,1/6/23,,66573,113,EAST 184 STREET,113 EAST 184 STREET,Bronx,10468,2031730068,2000000,BX-05,14,23703,BX40,40.859823,-73.900313,40.86002,-73.900186,,New Construction,No,Non Prevailing Wage,0,0,0,0,16,0,8,8,0,0,0,0,0,0,16,0,16,51
73324,659 EAST 222 STREET,12/28/22,,1007124,659,EAST 222 STREET,659 EAST 222 STREET,Bronx,10467,2048240025,2000000,BX-12,12,394,BX44,40.886192,-73.863179,40.88638,-73.8629,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,1,2,0,0,0,0,0,0,3,0,3,10
71471,HP BRIARWOOD HDFC.HPO.FY23,12/23/22,12/23/22,548350,80-08,135 STREET,80-08 135 STREET,Queens,11435,4096630002,4206529,QN-08,24,22001,QN35,40.715852,-73.823523,40.71546,-73.823838,12/23/22,Preservation,Yes,Non Prevailing Wage,0,22,88,79,3,0,22,100,69,1,0,0,0,0,192,0,192,192
72746,BORINQUEN COURT ASSOCIATES LP.HUDMF.FY23,12/23/22,12/23/22,62749,285,EAST 138 STREET,285 EAST 138 STREET,Bronx,10454,2023140010,2000689,BX-01,8,39,BX39,40.810666,-73.926487,40.81088,-73.925952,12/23/22,Preservation,No,Non Prevailing Wage,139,5,0,0,0,1,0,122,23,0,0,0,0,0,145,0,145,145
